DATE,IC4WSA
11/10/73,253000
11/17/73,254250
11/24/73,253750
12/1/73,256250
12/8/73,252250
12/15/73,256750
12/22/73,280000
12/29/73,291000
1/5/74,291750
1/12/74,308750
1/19/74,307500
1/26/74,305250
2/2/74,313500
2/9/74,320750
2/16/74,318250
2/23/74,318500
3/2/74,318250
3/9/74,302250
3/16/74,303250
3/23/74,308750
3/30/74,314250
4/6/74,312000
4/13/74,307500
4/20/74,303000
4/27/74,293000
5/4/74,290750
5/11/74,290500
5/18/74,291000
5/25/74,297500
6/1/74,295250
6/8/74,299750
6/15/74,301000
6/22/74,300750
6/29/74,312500
7/6/74,311750
7/13/74,312000
7/20/74,310750
7/27/74,309500
8/3/74,315500
8/10/74,326250
8/17/74,333500
8/24/74,339250
8/31/74,343000
9/7/74,343750
9/14/74,350000
9/21/74,356750
9/28/74,360750
10/5/74,366000
10/12/74,380000
10/19/74,384750
10/26/74,396750
11/2/74,405500
11/9/74,412500
11/16/74,427500
11/23/74,453500
11/30/74,470500
12/7/74,492250
12/14/74,507500
12/21/74,508250
12/28/74,524000
1/4/75,506000
1/11/75,517000
1/18/75,530500
1/25/75,535000
2/1/75,560750
2/8/75,558500
2/15/75,547250
2/22/75,544500
3/1/75,541250
3/8/75,542750
3/15/75,543000
3/22/75,544500
3/29/75,546750
4/5/75,543250
4/12/75,540500
4/19/75,535750
4/26/75,525250
5/3/75,517250
5/10/75,514000
5/17/75,509750
5/24/75,504750
5/31/75,497250
6/7/75,502750
6/14/75,498500
6/21/75,499500
6/28/75,495500
7/5/75,469000
7/12/75,456250
7/19/75,443250
7/26/75,442000
8/2/75,449750
8/9/75,453000
8/16/75,452750
8/23/75,453500
8/30/75,451500
9/6/75,448500
9/13/75,451500
9/20/75,445500
9/27/75,445250
10/4/75,440000
10/11/75,433250
10/18/75,426000
10/25/75,421250
11/1/75,418250
11/8/75,414750
11/15/75,410250
11/22/75,404000
11/29/75,397250
12/6/75,386750
12/13/75,382250
12/20/75,373250
12/27/75,374250
1/3/76,371500
1/10/76,380000
1/17/76,381250
1/24/76,374250
1/31/76,373500
2/7/76,361250
2/14/76,354750
2/21/76,350750
2/28/76,348250
3/6/76,347000
3/13/76,351000
3/20/76,356250
3/27/76,360500
4/3/76,368500
4/10/76,371750
4/17/76,370000
4/24/76,370250
5/1/76,371500
5/8/76,377000
5/15/76,382250
5/22/76,389000
5/29/76,393250
6/5/76,390000
6/12/76,396250
6/19/76,397500
6/26/76,393750
7/3/76,396750
7/10/76,388000
7/17/76,389750
7/24/76,391500
7/31/76,390000
